productId,name,brand,color,price,description,category,tags,rating,reviews,imgUrl,reasoning_lead,reasoning_body,reasoning_urgent,match_reason,badge,tier,image_verified,embedding
77,Clutch in Woven Leather,Pellier Atelier,Amber,228,"Hand-woven Italian leather clutch with a magnetic closure. Evening, edited.",Bags,"[""classic"", ""warm"", ""evening"", ""bags"", ""accessories""]",4.8,92,https://images.unsplash.com/photo-1657118493503-9cabb641a033?w=1600&q=85,,,,"classic, warm, evening",,3,false,
78,Belt Bag,Pellier Editions,Onyx,128,Sleek belt bag in smooth leather with an adjustable waist strap. Hands-free city days.,Bags,"[""minimal"", ""travel"", ""everyday"", ""bags"", ""accessories""]",4.6,178,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=1600&q=85,,,,"minimal, travel, everyday",,3,false,
79,Straw Crossbody,Pellier Editions,Wheat,98,Tight-woven raffia crossbody with a leather strap. Summer in bag form.,Bags,"[""classic"", ""warm"", ""travel"", ""bags"", ""accessories""]",4.7,156,https://images.unsplash.com/photo-1657118493503-9cabb641a033?w=1600&q=85,,,,"classic, warm, travel",,3,false,
80,Leather Pouch,Pellier Editions,Driftwood,88,"Soft leather pouch with a zip top. Passport, notebook, keys, quiet.",Bags,"[""minimal"", ""neutral"", ""travel"", ""work"", ""bags"", ""accessories""]",4.6,198,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=1600&q=85,,,,"minimal, neutral, travel",,3,false,
81,Hand-Knotted Wool Rug,Pellier Home,Oatmeal,498,Persian-style knotted wool rug in quiet tonal variation. The kind of piece a room settles into.,Home,"[""serene"", ""neutral"", ""slow"", ""home""]",4.8,89,https://images.unsplash.com/photo-1610701596007-11502861dcfa?w=1600&q=85,Picked because rooms need a weight,,,"serene, neutral, slow",,3,false,
82,Linen Duvet Cover,Pellier Home,Flax,248,"Stonewashed linen with wood buttons and interior ties. Crisp in summer, warm in winter.",Home,"[""serene"", ""soft"", ""slow"", ""home""]",4.9,287,https://images.unsplash.com/photo-1603006905393-c279bfe03745?w=1600&q=85,"Matched on: slow, soft, serene",,,"serene, soft, slow",,3,false,
83,Stoneware Pitcher,Pellier Home,Stoneware,88,"Hand-thrown pitcher with a generous pour lip. Flowers, water, iced tea, all at once.",Home,"[""minimal"", ""serene"", ""soft"", ""home""]",4.8,134,https://images.unsplash.com/photo-1616486029423-aaa4789e8c9a?w=1600&q=85,,,,"minimal, serene, soft",,3,false,
84,Cotton Waffle Bath Towel Set,Pellier Home,Cream,128,"Set of four Turkish cotton waffle-weave towels. Quick-dry, quick to become the favorite.",Home,"[""soft"", ""slow"", ""home""]",4.7,203,https://images.unsplash.com/photo-1610701596007-11502861dcfa?w=1600&q=85,,,,"soft, slow, home",,3,false,
85,Ceramic Vase,Pellier Home,Driftwood,78,Organic-shape ceramic vase in a matte driftwood glaze. Holds branches or a single stem with equal grace.,Home,"[""creative"", ""earth"", ""slow"", ""home""]",4.8,156,https://images.unsplash.com/photo-1603006905393-c279bfe03745?w=1600&q=85,,,,"creative, earth, slow",,3,false,
86,Linen Napkin Set,Pellier Home,Bone,68,"Set of six hemstitched linen napkins. Soften, soften, become heirloom.",Home,"[""classic"", ""soft"", ""slow"", ""home""]",4.8,221,https://images.unsplash.com/photo-1616486029423-aaa4789e8c9a?w=1600&q=85,,,,"classic, soft, slow",,3,false,
87,Wool Throw Pillow,Pellier Home,Forest,98,Hand-loomed wool with a hidden zip and a feather-down insert. Anchors a neutral sofa.,Home,"[""classic"", ""earth"", ""slow"", ""home""]",4.7,142,https://images.unsplash.com/photo-1610701596007-11502861dcfa?w=1600&q=85,,,,"classic, earth, slow",,3,false,
88,Incense Bundle,Pellier Home,Clay,48,Hand-rolled Japanese incense in cedar and citrus. Morning ritual in a matchbox.,Home,"[""serene"", ""soft"", ""slow"", ""home""]",4.8,289,https://images.unsplash.com/photo-1603006905393-c279bfe03745?w=1600&q=85,,,,"serene, soft, slow",,3,false,
89,Leather Card Case,Pellier Editions,Cognac,78,"Slim leather card case with six pockets. Ages with you, never with noise.",Accessories,"[""minimal"", ""classic"", ""everyday"", ""accessories""]",4.7,198,https://images.unsplash.com/photo-1611085583191-a3b181a88401?w=1600&q=85,"Matched on: everyday, minimal, classic",,,"minimal, classic, everyday",,3,false,
90,Silk Scarf,Pellier Atelier,Amber,148,"Hand-rolled silk twill printed with a custom botanical motif. Neck, bag, hair, gift.",Accessories,"[""creative"", ""warm"", ""evening"", ""accessories""]",4.8,112,https://images.unsplash.com/photo-1529958030586-3aae4ca485ff?w=1600&q=85,,,,"creative, warm, evening",,3,false,
91,Gold Hoop Earrings,Pellier Atelier,Amber,128,14k gold-fill hoops in a middle weight. The pair you wear until you don't notice them.,Accessories,"[""minimal"", ""classic"", ""everyday"", ""evening"", ""accessories""]",4.9,267,https://images.unsplash.com/photo-1611085583191-a3b181a88401?w=1600&q=85,Quiet layer that earns its evenings,,,"minimal, classic, everyday",,3,false,
92,Linen Pocket Square,Pellier Editions,Cream,38,"Soft-edged linen pocket square in a washed cream. Pressed or rumpled, both correct.",Accessories,"[""classic"", ""neutral"", ""work"", ""accessories""]",4.6,76,https://images.unsplash.com/photo-1529958030586-3aae4ca485ff?w=1600&q=85,,,,"classic, neutral, work",,3,false,
